title,abstract,url,domain_task,keywords
Poly-Autoregressive Prediction for Modeling Interactions,"We introduce a simple framework for predicting the behavior of an agent in
multi-agent settings. In contrast to autoregressive (AR) tasks, such as
language processing, our focus is on scenarios with multiple agents whose
interactions are shaped by physical constraints and internal motivations. To
this end, we propose Poly-Autoregressive (PAR) modeling, which forecasts an ego
agent's future behavior by reasoning about the ego agent's state history and
the past and current states of other interacting agents. At its core, PAR
represents the behavior of all agents as a sequence of tokens, each
representing an agent's state at a specific timestep. With minimal data
pre-processing changes, we show that PAR can be applied to three different
problems: human action forecasting in social situations, trajectory prediction
for autonomous vehicles, and object pose forecasting during hand-object
interaction. Using a small proof-of-concept transformer backbone, PAR
outperforms AR across these three scenarios. The project website can be found
at https://neerja.me/PAR/.",http://arxiv.org/abs/2502.08646v1,Recommendation System,"agent, par, behavior, agents, autoregressive"
Rhythmic sharing: A bio-inspired paradigm for zero-shot adaptation and learning in neural networks,"The brain can rapidly adapt to new contexts and learn from limited data, a
coveted characteristic that artificial intelligence algorithms have struggled
to mimic. Inspired by oscillatory rhythms of the mechanical structures of
neural cells, we developed a learning paradigm that is based on oscillations in
link strengths and associates learning with the coordination of these
oscillations. We find that this paradigm yields rapid adaptation and learning
in artificial neural networks. Link oscillations can rapidly change
coordination, endowing the network with the ability to sense subtle context
changes in an unsupervised manner. In other words, the network generates the
missing contextual tokens required to perform as a generalist AI architecture
capable of predicting dynamics in multiple contexts. Oscillations also allow
the network to extrapolate dynamics to never-seen-before contexts. These
capabilities make our learning paradigm a powerful starting point for novel
models of learning and cognition. Furthermore, learning through link
coordination is agnostic to the specifics of the neural network architecture,
hence our study opens the door for introducing rapid adaptation and learning
capabilities into leading AI models.",http://arxiv.org/abs/2502.08644v1,Recommendation System,"learning, oscillations, network, contexts, neural"
A Real-to-Sim-to-Real Approach to Robotic Manipulation with VLM-Generated Iterative Keypoint Rewards,"Task specification for robotic manipulation in open-world environments is
challenging, requiring flexible and adaptive objectives that align with human
intentions and can evolve through iterative feedback. We introduce Iterative
Keypoint Reward (IKER), a visually grounded, Python-based reward function that
serves as a dynamic task specification. Our framework leverages VLMs to
generate and refine these reward functions for multi-step manipulation tasks.
Given RGB-D observations and free-form language instructions, we sample
keypoints in the scene and generate a reward function conditioned on these
keypoints. IKER operates on the spatial relationships between keypoints,
leveraging commonsense priors about the desired behaviors, and enabling precise
SE(3) control. We reconstruct real-world scenes in simulation and use the
generated rewards to train reinforcement learning (RL) policies, which are then
deployed into the real world-forming a real-to-sim-to-real loop. Our approach
demonstrates notable capabilities across diverse scenarios, including both
prehensile and non-prehensile tasks, showcasing multi-step task execution,
spontaneous error recovery, and on-the-fly strategy adjustments. The results
highlight IKER's effectiveness in enabling robots to perform multi-step tasks
in dynamic environments through iterative reward shaping.",http://arxiv.org/abs/2502.08643v1,Reinforcement Learning,"reward, real, task, world, iterative"
SwiftSketch: A Diffusion Model for Image-to-Vector Sketch Generation,"Recent advancements in large vision-language models have enabled highly
expressive and diverse vector sketch generation. However, state-of-the-art
methods rely on a time-consuming optimization process involving repeated
feedback from a pretrained model to determine stroke placement. Consequently,
despite producing impressive sketches, these methods are limited in practical
applications. In this work, we introduce SwiftSketch, a diffusion model for
image-conditioned vector sketch generation that can produce high-quality
sketches in less than a second. SwiftSketch operates by progressively denoising
stroke control points sampled from a Gaussian distribution. Its
transformer-decoder architecture is designed to effectively handle the discrete
nature of vector representation and capture the inherent global dependencies
between strokes. To train SwiftSketch, we construct a synthetic dataset of
image-sketch pairs, addressing the limitations of existing sketch datasets,
which are often created by non-artists and lack professional quality. For
generating these synthetic sketches, we introduce ControlSketch, a method that
enhances SDS-based techniques by incorporating precise spatial control through
a depth-aware ControlNet. We demonstrate that SwiftSketch generalizes across
diverse concepts, efficiently producing sketches that combine high fidelity
with a natural and visually appealing style.",http://arxiv.org/abs/2502.08642v1,Reinforcement Learning,"sketch, sketches, swiftsketch, vector, diverse"
Utility Engineering: Analyzing and Controlling Emergent Value Systems in AIs,"As AIs rapidly advance and become more agentic, the risk they pose is
governed not only by their capabilities but increasingly by their propensities,
including goals and values. Tracking the emergence of goals and values has
proven a longstanding problem, and despite much interest over the years it
remains unclear whether current AIs have meaningful values. We propose a
solution to this problem, leveraging the framework of utility functions to
study the internal coherence of AI preferences. Surprisingly, we find that
independently-sampled preferences in current LLMs exhibit high degrees of
structural coherence, and moreover that this emerges with scale. These findings
suggest that value systems emerge in LLMs in a meaningful sense, a finding with
broad implications. To study these emergent value systems, we propose utility
engineering as a research agenda, comprising both the analysis and control of
AI utilities. We uncover problematic and often shocking values in LLM
assistants despite existing control measures. These include cases where AIs
value themselves over humans and are anti-aligned with specific individuals. To
constrain these emergent value systems, we propose methods of utility control.
As a case study, we show how aligning utilities with a citizen assembly reduces
political biases and generalizes to new scenarios. Whether we like it or not,
value systems have already emerged in AIs, and much work remains to fully
understand and control these emergent representations.",http://arxiv.org/abs/2502.08640v1,Recommendation System,"value, ais, values, systems, control"
CineMaster: A 3D-Aware and Controllable Framework for Cinematic Text-to-Video Generation,"In this work, we present CineMaster, a novel framework for 3D-aware and
controllable text-to-video generation. Our goal is to empower users with
comparable controllability as professional film directors: precise placement of
objects within the scene, flexible manipulation of both objects and camera in
3D space, and intuitive layout control over the rendered frames. To achieve
this, CineMaster operates in two stages. In the first stage, we design an
interactive workflow that allows users to intuitively construct 3D-aware
conditional signals by positioning object bounding boxes and defining camera
movements within the 3D space. In the second stage, these control
signals--comprising rendered depth maps, camera trajectories and object class
labels--serve as the guidance for a text-to-video diffusion model, ensuring to
generate the user-intended video content. Furthermore, to overcome the scarcity
of in-the-wild datasets with 3D object motion and camera pose annotations, we
carefully establish an automated data annotation pipeline that extracts 3D
bounding boxes and camera trajectories from large-scale video data. Extensive
qualitative and quantitative experiments demonstrate that CineMaster
significantly outperforms existing methods and implements prominent 3D-aware
text-to-video generation. Project page: https://cinemaster-dev.github.io/.",http://arxiv.org/abs/2502.08639v1,Recommendation System,"video, camera, cinemaster, aware, text"
Joint Transmit and Pinching Beamforming for PASS: Optimization-Based or Learning-Based?,"A novel pinching antenna system (PASS)-enabled downlink multi-user
multiple-input single-output (MISO) framework is proposed. PASS consists of
multiple waveguides spanning over thousands of wavelength, which equip numerous
low-cost dielectric particles, named pinching antennas (PAs), to radiate
signals into free space. The positions of PAs can be reconfigured to change
both the large-scale path losses and phases of signals, thus facilitating the
novel pinching beamforming design. A sum rate maximization problem is
formulated, which jointly optimizes the transmit and pinching beamforming to
adaptively achieve constructive signal enhancement and destructive interference
mitigation. To solve this highly coupled and nonconvex problem, both
optimization-based and learning-based methods are proposed. 1) For the
optimization-based method, a majorization-minimization and penalty dual
decomposition (MM-PDD) algorithm is developed, which handles the nonconvex
complex exponential component using a Lipschitz surrogate function and then
invokes PDD for problem decoupling. 2) For the learning-based method, a novel
Karush-Kuhn-Tucker (KKT)-guided dual learning (KDL) approach is proposed, which
enables KKT solutions to be reconstructed in a data-driven manner by learning
dual variables. Following this idea, a KDL-Tranformer algorithm is developed,
which captures both inter-PA/inter-user dependencies and
channel-state-information (CSI)-beamforming dependencies by attention
mechanisms. Simulation results demonstrate that: i) The proposed PASS framework
significantly outperforms conventional massive multiple input multiple output
(MIMO) system even with a few PAs. ii) The proposed KDL-Transformer can improve
over 30% system performance than MM-PDD algorithm, while achieving a
millisecond-level response on modern GPUs.",http://arxiv.org/abs/2502.08637v1,Recommendation System,"proposed, pinching, multiple, based, learning"
PulseCheck457: A Diagnostic Benchmark for Comprehensive Spatial Reasoning of Large Multimodal Models,"Although large multimodal models (LMMs) have demonstrated remarkable
capabilities in visual scene interpretation and reasoning, their capacity for
complex and precise 3-dimensional spatial reasoning remains uncertain. Existing
benchmarks focus predominantly on 2D spatial understanding and lack a framework
to comprehensively evaluate 6D spatial reasoning across varying complexities.
To address this limitation, we present PulseCheck457, a scalable and unbiased
synthetic dataset designed with 4 key capability for spatial reasoning:
multi-object recognition, 2D location, 3D location, and 3D orientation. We
develop a cascading evaluation structure, constructing 7 question types across
5 difficulty levels that range from basic single object recognition to our new
proposed complex 6D spatial reasoning tasks. We evaluated various large
multimodal models (LMMs) on PulseCheck457, observing a general decline in
performance as task complexity increases, particularly in 3D reasoning and 6D
spatial tasks. To quantify these challenges, we introduce the Relative
Performance Dropping Rate (RPDR), highlighting key weaknesses in 3D reasoning
capabilities. Leveraging the unbiased attribute design of our dataset, we also
uncover prediction biases across different attributes, with similar patterns
observed in real-world image settings.",http://arxiv.org/abs/2502.08636v1,Recommendation System,"reasoning, spatial, large, multimodal, models"
Rapid Whole Brain Mesoscale In-vivo MR Imaging using Multi-scale Implicit Neural Representation,"Purpose: To develop and validate a novel image reconstruction technique using
implicit neural representations (INR) for multi-view thick-slice acquisitions
while reducing the scan time but maintaining high signal-to-noise ratio (SNR).
Methods: We propose Rotating-view super-resolution (ROVER)-MRI, an unsupervised
neural network-based algorithm designed to reconstruct MRI data from multi-view
thick slices, effectively reducing scan time by 2-fold while maintaining fine
anatomical details. We compare our method to both bicubic interpolation and the
current state-of-the-art regularized least-squares super-resolution
reconstruction (LS-SRR) technique. Validation is performed using ground-truth
ex-vivo monkey brain data, and we demonstrate superior reconstruction quality
across several in-vivo human datasets. Notably, we achieve the reconstruction
of a whole human brain in-vivo T2-weighted image with an unprecedented
180{\mu}m isotropic spatial resolution, accomplished in just 17 minutes of scan
time on a 7T MRI scanner. Results: ROVER-MRI outperformed LS-SRR method in
terms of reconstruction quality with 22.4% lower relative error (RE) and 7.5%
lower full-width half maximum (FWHM) indicating better preservation of fine
structural details in nearly half the scan time. Conclusion: ROVER-MRI offers
an efficient and robust approach for mesoscale MR imaging, enabling rapid,
high-resolution whole-brain scans. Its versatility holds great promise for
research applications requiring anatomical details and time-efficient imaging.",http://arxiv.org/abs/2502.08634v1,Recommendation System,"reconstruction, time, scan, resolution, mri"
Necessary and Sufficient Oracles: Toward a Computational Taxonomy For Reinforcement Learning,"Algorithms for reinforcement learning (RL) in large state spaces crucially
rely on supervised learning subroutines to estimate objects such as value
functions or transition probabilities. Since only the simplest supervised
learning problems can be solved provably and efficiently, practical performance
of an RL algorithm depends on which of these supervised learning ""oracles"" it
assumes access to (and how they are implemented). But which oracles are better
or worse? Is there a minimal oracle?
  In this work, we clarify the impact of the choice of supervised learning
oracle on the computational complexity of RL, as quantified by the oracle
strength. First, for the task of reward-free exploration in Block MDPs in the
standard episodic access model -- a ubiquitous setting for RL with function
approximation -- we identify two-context regression as a minimal oracle, i.e.
an oracle that is both necessary and sufficient (under a mild regularity
assumption). Second, we identify one-context regression as a near-minimal
oracle in the stronger reset access model, establishing a provable
computational benefit of resets in the process. Third, we broaden our focus to
Low-Rank MDPs, where we give cryptographic evidence that the analogous oracle
from the Block MDP setting is insufficient.",http://arxiv.org/abs/2502.08632v1,Reinforcement Learning,"oracle, learning, rl, supervised, access"
